sentences,sent_tokens,topic,label_topic
"""wait a bit, he is not drunk yet!","['wait', 'bite', 'drink', 'yet']",7,say-prince-go-andrew-look-come-count-room-pierre
"a bottle here,"" said anatole, taking a glass from the table he went up to pierre.","['bottle', 'say', 'anatole', 'take', 'glass', 'table', 'go', 'pierre']",7,say-prince-go-andrew-look-come-count-room-pierre
"""first of all you must drink!""","['first', 'must', 'drink']",1,count-go-pierre-prince-come-know-look-well-let
"pierre drank one glass after another, looking from under his brows at the tipsy guests who were again crowding round the window, and listening to their chatter.","['pierre', 'drink', 'glass', 'another', 'look', 'brows', 'tipsy', 'guests', 'crowd', 'round', 'window', 'listen', 'chatter']",1,count-go-pierre-prince-come-know-look-well-let
"anatole kept on refilling pierre's glass while explaining that dolokhov was betting with stevens, an english naval officer, that he would drink a bottle of rum sitting on the outer ledge of the third floor window with his legs hanging out.","['anatole', 'keep', 'refill', 'pierres', 'glass', 'explain', 'dolokhov', 'bet', 'stevens', 'english', 'naval', 'officer', 'would', 'drink', 'bottle', 'rum', 'sit', 'outer', 'ledge', 'third', 'floor', 'window', 'legs', 'hang', 'out']",8,prince-hand-know-say-hold-princess-book-leave-even
"""go on, you must drink it all,"" said anatole, giving pierre the last glass, ""or i won't let you go!""","['go', 'must', 'drink', 'say', 'anatole', 'give', 'pierre', 'last', 'glass', 'wont', 'let', 'go']",7,say-prince-go-andrew-look-come-count-room-pierre
"""no, i won't,"" said pierre, pushing anatole aside, and he went up to the window.","['wont', 'say', 'pierre', 'push', 'anatole', 'aside', 'go', 'window']",7,say-prince-go-andrew-look-come-count-room-pierre
"dolokhov was holding the englishman's hand and clearly and distinctly repeating the terms of the bet, addressing himself particularly to anatole and pierre.","['dolokhov', 'hold', 'englishmans', 'hand', 'clearly', 'distinctly', 'repeat', 'term', 'bet', 'address', 'particularly', 'anatole', 'pierre']",8,prince-hand-know-say-hold-princess-book-leave-even
"dolokhov was of medium height, with curly hair and light-blue eyes.","['dolokhov', 'medium', 'height', 'curly', 'hair', 'lightblue', 'eye']",2,know-letter-father-man-pierre-see-princess-silent-say
he was about twenty-five.,['twentyfive'],6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"like all infantry officers he wore no mustache, so that his mouth, the most striking feature of his face, was clearly seen.","['like', 'infantry', 'officer', 'wear', 'mustache', 'mouth', 'strike', 'feature', 'face', 'clearly', 'see']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
the lines of that mouth were remarkably finely curved.,"['line', 'mouth', 'remarkably', 'finely', 'curve']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"the middle of the upper lip formed a sharp wedge and closed firmly on the firm lower one, and something like two distinct smiles played continually round the two corners of the mouth; this, together with the resolute, insolent intelligence of his eyes, produced an effect which made it impossible not to notice his face.","['middle', 'upper', 'lip', 'form', 'sharp', 'wedge', 'close', 'firmly', 'firm', 'lower', 'something', 'like', 'distinct', 'smile', 'play', 'continually', 'round', 'corner', 'mouth', 'together', 'resolute', 'insolent', 'intelligence', 'eye', 'produce', 'effect', 'make', 'impossible', 'notice', 'face']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
dolokhov was a man of small means and no connections.,"['dolokhov', 'man', 'small', 'mean', 'connections']",2,know-letter-father-man-pierre-see-princess-silent-say
"yet, though anatole spent tens of thousands of rubles, dolokhov lived with him and had placed himself on such a footing that all who knew them, including anatole himself, respected him more than they did anatole.","['though', 'anatole', 'spend', 'tens', 'thousands', 'rubles', 'dolokhov', 'live', 'place', 'foot', 'know', 'include', 'anatole', 'respect', 'anatole']",7,say-prince-go-andrew-look-come-count-room-pierre
dolokhov could play all games and nearly always won.,"['dolokhov', 'could', 'play', 'game', 'nearly', 'always', 'win']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"however much he drank, he never lost his clearheadedness.","['much', 'drink', 'never', 'lose', 'clearheadedness']",7,say-prince-go-andrew-look-come-count-room-pierre
both kuragin and dolokhov were at that time notorious among the rakes and scapegraces of petersburg.,"['kuragin', 'dolokhov', 'time', 'notorious', 'rake', 'scapegraces', 'petersburg']",5,princess-mary-say-give-prince-look-dinner-man-face
the bottle of rum was brought.,"['bottle', 'rum', 'bring']",2,know-letter-father-man-pierre-see-princess-silent-say
"the window frame which prevented anyone from sitting on the outer sill was being forced out by two footmen, who were evidently flurried and intimidated by the directions and shouts of the gentlemen around.","['window', 'frame', 'prevent', 'anyone', 'sit', 'outer', 'sill', 'force', 'footmen', 'evidently', 'flurry', 'intimidate', 'directions', 'shout', 'gentlemen', 'around']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
anatole with his swaggering air strode up to the window.,"['anatole', 'swagger', 'air', 'stride', 'window']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
he wanted to smash something.,"['want', 'smash', 'something']",5,princess-mary-say-give-prince-look-dinner-man-face
"pushing away the footmen he tugged at the frame, but could not move it.","['push', 'away', 'footmen', 'tug', 'frame', 'could', 'move', 'it']",1,count-go-pierre-prince-come-know-look-well-let
he smashed a pane.,"['smash', 'pane']",5,princess-mary-say-give-prince-look-dinner-man-face
"""you have a try, hercules,"" said he, turning to pierre.","['try', 'hercules', 'say', 'turn', 'pierre']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"pierre seized the crossbeam, tugged, and wrenched the oak frame out with a crash.","['pierre', 'seize', 'crossbeam', 'tug', 'wrench', 'oak', 'frame', 'crash']",1,count-go-pierre-prince-come-know-look-well-let
"""take it right out, or they'll think i'm holding on,"" said dolokhov.","['take', 'right', 'theyll', 'think', 'im', 'hold', 'say', 'dolokhov']",7,say-prince-go-andrew-look-come-count-room-pierre
"""is the englishman bragging?...","['englishman', 'brag']",1,count-go-pierre-prince-come-know-look-well-let
eh?,['eh'],0,say-prince-nothing-pierre-look-please-smile-know-hand
"is it all right?""",['right'],2,know-letter-father-man-pierre-see-princess-silent-say
said anatole.,"['say', 'anatole']",7,say-prince-go-andrew-look-come-count-room-pierre
"""first-rate,"" said pierre, looking at dolokhov, who with a bottle of rum in his hand was approaching the window, from which the light of the sky, the dawn merging with the afterglow of sunset, was visible.","['firstrate', 'say', 'pierre', 'look', 'dolokhov', 'bottle', 'rum', 'hand', 'approach', 'window', 'light', 'sky', 'dawn', 'merge', 'afterglow', 'sunset', 'visible']",7,say-prince-go-andrew-look-come-count-room-pierre
"dolokhov, the bottle of rum still in his hand, jumped onto the window sill.","['dolokhov', 'bottle', 'rum', 'still', 'hand', 'jump', 'onto', 'window', 'sill']",2,know-letter-father-man-pierre-see-princess-silent-say
"""listen!""",['listen'],3,room-pierre-prince-draw-look-say-laugh-princess-little
"cried he, standing there and addressing those in the room.","['cry', 'stand', 'address', 'room']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
all were silent.,['silent'],2,know-letter-father-man-pierre-see-princess-silent-say
"""i bet fifty imperials""--he spoke french that the englishman might understand him, but he did, not speak it very well--""i bet fifty imperials... or do you wish to make it a hundred?""","['bet', 'fifty', 'imperialshe', 'speak', 'french', 'englishman', 'might', 'understand', 'speak', 'welli', 'bet', 'fifty', 'imperials', 'wish', 'make', 'hundred']",8,prince-hand-know-say-hold-princess-book-leave-even
"added he, addressing the englishman.","['add', 'address', 'englishman']",1,count-go-pierre-prince-come-know-look-well-let
"""no, fifty,"" replied the latter.","['fifty', 'reply', 'latter']",8,prince-hand-know-say-hold-princess-book-leave-even
"""all right.",['right'],2,know-letter-father-man-pierre-see-princess-silent-say
"fifty imperials... that i will drink a whole bottle of rum without taking it from my mouth, sitting outside the window on this spot"" (he stooped and pointed to the sloping ledge outside the window) ""and without holding on to anything.","['fifty', 'imperials', 'drink', 'whole', 'bottle', 'rum', 'without', 'take', 'mouth', 'sit', 'outside', 'window', 'spot', 'stoop', 'point', 'slop', 'ledge', 'outside', 'window', 'without', 'hold', 'anything']",8,prince-hand-know-say-hold-princess-book-leave-even
"is that right?""",['right'],2,know-letter-father-man-pierre-see-princess-silent-say
"""quite right,"" said the englishman.","['quite', 'right', 'say', 'englishman']",8,prince-hand-know-say-hold-princess-book-leave-even
anatole turned to the englishman and taking him by one of the buttons of his coat and looking down at him--the englishman was short- began repeating the terms of the wager to him in english.,"['anatole', 'turn', 'englishman', 'take', 'button', 'coat', 'look', 'himthe', 'englishman', 'short', 'begin', 'repeat', 'term', 'wager', 'english']",1,count-go-pierre-prince-come-know-look-well-let
"""wait!""",['wait'],7,say-prince-go-andrew-look-come-count-room-pierre
"cried dolokhov, hammering with the bottle on the window sill to attract attention.","['cry', 'dolokhov', 'hammer', 'bottle', 'window', 'sill', 'attract', 'attention']",2,know-letter-father-man-pierre-see-princess-silent-say
"""wait a bit, kuragin.","['wait', 'bite', 'kuragin']",7,say-prince-go-andrew-look-come-count-room-pierre
listen!,['listen'],3,room-pierre-prince-draw-look-say-laugh-princess-little
"if anyone else does the same, i will pay him a hundred imperials.","['anyone', 'else', 'pay', 'hundred', 'imperials']",5,princess-mary-say-give-prince-look-dinner-man-face
"do you understand?""",['understand'],4,dont-say-know-ah-tell-be-dear-do-michael
"the englishman nodded, but gave no indication whether he intended to accept this challenge or not.","['englishman', 'nod', 'give', 'indication', 'whether', 'intend', 'accept', 'challenge', 'not']",1,count-go-pierre-prince-come-know-look-well-let
"anatole did not release him, and though he kept nodding to show that he understood, anatole went on translating dolokhov's words into english.","['anatole', 'release', 'though', 'keep', 'nod', 'show', 'understand', 'anatole', 'go', 'translate', 'dolokhovs', 'word', 'english']",7,say-prince-go-andrew-look-come-count-room-pierre
"a thin young lad, an hussar of the life guards, who had been losing that evening, climbed on the window sill, leaned over, and looked down.","['thin', 'young', 'lad', 'hussar', 'life', 'guard', 'lose', 'even', 'climb', 'window', 'sill', 'lean', 'look', 'down']",7,say-prince-go-andrew-look-come-count-room-pierre
"""oh!",['oh'],1,count-go-pierre-prince-come-know-look-well-let
oh!,['oh'],1,count-go-pierre-prince-come-know-look-well-let
"oh!""",['oh'],1,count-go-pierre-prince-come-know-look-well-let
"he muttered, looking down from the window at the stones of the pavement.","['mutter', 'look', 'window', 'stone', 'pavement']",7,say-prince-go-andrew-look-come-count-room-pierre
"""shut up!""","['shut', 'up']",4,dont-say-know-ah-tell-be-dear-do-michael
"cried dolokhov, pushing him away from the window.","['cry', 'dolokhov', 'push', 'away', 'window']",8,prince-hand-know-say-hold-princess-book-leave-even
"the lad jumped awkwardly back into the room, tripping over his spurs.","['lad', 'jump', 'awkwardly', 'back', 'room', 'trip', 'spur']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"placing the bottle on the window sill where he could reach it easily, dolokhov climbed carefully and slowly through the window and lowered his legs.","['place', 'bottle', 'window', 'sill', 'could', 'reach', 'easily', 'dolokhov', 'climb', 'carefully', 'slowly', 'window', 'lower', 'legs']",7,say-prince-go-andrew-look-come-count-room-pierre
"pressing against both sides of the window, he adjusted himself on his seat, lowered his hands, moved a little to the right and then to the left, and took up the bottle.","['press', 'side', 'window', 'adjust', 'seat', 'lower', 'hand', 'move', 'little', 'right', 'leave', 'take', 'bottle']",8,prince-hand-know-say-hold-princess-book-leave-even
"anatole brought two candles and placed them on the window sill, though it was already quite light.","['anatole', 'bring', 'candle', 'place', 'window', 'sill', 'though', 'already', 'quite', 'light']",7,say-prince-go-andrew-look-come-count-room-pierre
"dolokhov's back in his white shirt, and his curly head, were lit up from both sides.","['dolokhovs', 'back', 'white', 'shirt', 'curly', 'head', 'light', 'side']",2,know-letter-father-man-pierre-see-princess-silent-say
"everyone crowded to the window, the englishman in front.","['everyone', 'crowd', 'window', 'englishman', 'front']",8,prince-hand-know-say-hold-princess-book-leave-even
pierre stood smiling but silent.,"['pierre', 'stand', 'smile', 'silent']",2,know-letter-father-man-pierre-see-princess-silent-say
"one man, older than the others present, suddenly pushed forward with a scared and angry look and wanted to seize hold of dolokhov's shirt.","['man', 'older', 'others', 'present', 'suddenly', 'push', 'forward', 'scar', 'angry', 'look', 'want', 'seize', 'hold', 'dolokhovs', 'shirt']",8,prince-hand-know-say-hold-princess-book-leave-even
"""i say, this is folly!","['say', 'folly']",7,say-prince-go-andrew-look-come-count-room-pierre
"he'll be killed,"" said this more sensible man.","['hell', 'kill', 'say', 'sensible', 'man']",7,say-prince-go-andrew-look-come-count-room-pierre
anatole stopped him.,"['anatole', 'stop', 'him']",5,princess-mary-say-give-prince-look-dinner-man-face
"""don't touch him!","['dont', 'touch', 'him']",4,dont-say-know-ah-tell-be-dear-do-michael
you'll startle him and then he'll be killed.,"['youll', 'startle', 'hell', 'kill']",1,count-go-pierre-prince-come-know-look-well-let
eh?...,['eh'],0,say-prince-nothing-pierre-look-please-smile-know-hand
what then?...,['then'],4,dont-say-know-ah-tell-be-dear-do-michael
"eh?""",['eh'],0,say-prince-nothing-pierre-look-please-smile-know-hand
"dolokhov turned round and, again holding on with both hands, arranged himself on his seat.","['dolokhov', 'turn', 'round', 'hold', 'hand', 'arrange', 'seat']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"""if anyone comes meddling again,"" said he, emitting the words separately through his thin compressed lips, ""i will throw him down there.","['anyone', 'come', 'meddle', 'say', 'emit', 'word', 'separately', 'thin', 'compress', 'lips', 'throw', 'there']",4,dont-say-know-ah-tell-be-dear-do-michael
"now then!""",['then'],4,dont-say-know-ah-tell-be-dear-do-michael
"saying this he again turned round, dropped his hands, took the bottle and lifted it to his lips, threw back his head, and raised his free hand to balance himself.","['say', 'turn', 'round', 'drop', 'hand', 'take', 'bottle', 'lift', 'lips', 'throw', 'back', 'head', 'raise', 'free', 'hand', 'balance', 'himself']",0,say-prince-nothing-pierre-look-please-smile-know-hand
one of the footmen who had stooped to pick up some broken glass remained in that position without taking his eyes from the window and from dolokhov's back.,"['footmen', 'stoop', 'pick', 'break', 'glass', 'remain', 'position', 'without', 'take', 'eye', 'window', 'dolokhovs', 'back']",8,prince-hand-know-say-hold-princess-book-leave-even
anatole stood erect with staring eyes.,"['anatole', 'stand', 'erect', 'star', 'eye']",7,say-prince-go-andrew-look-come-count-room-pierre
"the englishman looked on sideways, pursing up his lips.","['englishman', 'look', 'sideways', 'purse', 'lips']",0,say-prince-nothing-pierre-look-please-smile-know-hand
the man who had wished to stop the affair ran to a corner of the room and threw himself on a sofa with his face to the wall.,"['man', 'wish', 'stop', 'affair', 'run', 'corner', 'room', 'throw', 'sofa', 'face', 'wall']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"pierre hid his face, from which a faint smile forgot to fade though his features now expressed horror and fear.","['pierre', 'hide', 'face', 'faint', 'smile', 'forget', 'fade', 'though', 'feature', 'express', 'horror', 'fear']",2,know-letter-father-man-pierre-see-princess-silent-say
all were still.,['still'],0,say-prince-nothing-pierre-look-please-smile-know-hand
pierre took his hands from his eyes.,"['pierre', 'take', 'hand', 'eye']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"dolokhov still sat in the same position, only his head was thrown further back till his curly hair touched his shirt collar, and the hand holding the bottle was lifted higher and higher and trembled with the effort.","['dolokhov', 'still', 'sit', 'position', 'head', 'throw', 'back', 'till', 'curly', 'hair', 'touch', 'shirt', 'collar', 'hand', 'hold', 'bottle', 'lift', 'higher', 'higher', 'tremble', 'effort']",8,prince-hand-know-say-hold-princess-book-leave-even
the bottle was emptying perceptibly and rising still higher and his head tilting yet further back.,"['bottle', 'empty', 'perceptibly', 'rise', 'still', 'higher', 'head', 'tilt', 'back']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"""why is it so long?""",['long'],6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
thought pierre.,"['think', 'pierre']",1,count-go-pierre-prince-come-know-look-well-let
it seemed to him that more than half an hour had elapsed.,"['seem', 'half', 'hour', 'elapse']",8,prince-hand-know-say-hold-princess-book-leave-even
"suddenly dolokhov made a backward movement with his spine, and his arm trembled nervously; this was sufficient to cause his whole body to slip as he sat on the sloping ledge.","['suddenly', 'dolokhov', 'make', 'backward', 'movement', 'spine', 'arm', 'tremble', 'nervously', 'sufficient', 'cause', 'whole', 'body', 'slip', 'sit', 'slop', 'ledge']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"as he began slipping down, his head and arm wavered still more with the strain.","['begin', 'slip', 'head', 'arm', 'waver', 'still', 'strain']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"one hand moved as if to clutch the window sill, but refrained from touching it.","['hand', 'move', 'clutch', 'window', 'sill', 'refrain', 'touch', 'it']",0,say-prince-nothing-pierre-look-please-smile-know-hand
pierre again covered his eyes and thought he would never never them again.,"['pierre', 'cover', 'eye', 'think', 'would', 'never', 'never', 'again']",8,prince-hand-know-say-hold-princess-book-leave-even
suddenly he was aware of a stir all around.,"['suddenly', 'aware', 'stir', 'around']",1,count-go-pierre-prince-come-know-look-well-let
"he looked up: dolokhov was standing on the window sill, with a pale but radiant face.","['look', 'dolokhov', 'stand', 'window', 'sill', 'pale', 'radiant', 'face']",7,say-prince-go-andrew-look-come-count-room-pierre
"""it's empty.""",['empty'],2,know-letter-father-man-pierre-see-princess-silent-say
"he threw the bottle to the englishman, who caught it neatly.","['throw', 'bottle', 'englishman', 'catch', 'neatly']",8,prince-hand-know-say-hold-princess-book-leave-even
dolokhov jumped down.,"['dolokhov', 'jump', 'down']",7,say-prince-go-andrew-look-come-count-room-pierre
he smelt strongly of rum.,"['smelt', 'strongly', 'rum']",2,know-letter-father-man-pierre-see-princess-silent-say
"""well done!...","['well', 'do']",4,dont-say-know-ah-tell-be-dear-do-michael
fine fellow!...,"['fine', 'fellow']",8,prince-hand-know-say-hold-princess-book-leave-even
there's a bet for you!...,"['theres', 'bet', 'you']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"devil take you!""","['devil', 'take', 'you']",0,say-prince-nothing-pierre-look-please-smile-know-hand
came from different sides.,"['come', 'different', 'side']",4,dont-say-know-ah-tell-be-dear-do-michael
the englishman took out his purse and began counting out the money.,"['englishman', 'take', 'purse', 'begin', 'count', 'money']",1,count-go-pierre-prince-come-know-look-well-let
dolokhov stood frowning and did not speak.,"['dolokhov', 'stand', 'frown', 'speak']",8,prince-hand-know-say-hold-princess-book-leave-even
pierre jumped upon the window sill.,"['pierre', 'jump', 'upon', 'window', 'sill']",3,room-pierre-prince-draw-look-say-laugh-princess-little
"""gentlemen, who wishes to bet with me?","['gentlemen', 'wish', 'bet', 'me']",8,prince-hand-know-say-hold-princess-book-leave-even
"i'll do the same thing!""","['ill', 'thing']",4,dont-say-know-ah-tell-be-dear-do-michael
he suddenly cried.,"['suddenly', 'cry']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"""even without a bet, there!","['even', 'without', 'bet', 'there']",8,prince-hand-know-say-hold-princess-book-leave-even
tell them to bring me a bottle.,"['tell', 'bring', 'bottle']",2,know-letter-father-man-pierre-see-princess-silent-say
"i'll do it.... bring a bottle!""","['ill', 'bring', 'bottle']",2,know-letter-father-man-pierre-see-princess-silent-say
"""let him do it, let him do it,"" said dolokhov, smiling.","['let', 'let', 'say', 'dolokhov', 'smile']",7,say-prince-go-andrew-look-come-count-room-pierre
"""what next?",['next'],1,count-go-pierre-prince-come-know-look-well-let
have you gone mad?...,"['go', 'mad']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
no one would let you!...,"['would', 'let', 'you']",1,count-go-pierre-prince-come-know-look-well-let
"why, you go giddy even on a staircase,"" exclaimed several voices.","['go', 'giddy', 'even', 'staircase', 'exclaim', 'several', 'voice']",7,say-prince-go-andrew-look-come-count-room-pierre
"""i'll drink it!","['ill', 'drink', 'it']",1,count-go-pierre-prince-come-know-look-well-let
"let's have a bottle of rum!""","['let', 'bottle', 'rum']",2,know-letter-father-man-pierre-see-princess-silent-say
"shouted pierre, banging the table with a determined and drunken gesture and preparing to climb out of the window.","['shout', 'pierre', 'bang', 'table', 'determine', 'drunken', 'gesture', 'prepare', 'climb', 'window']",3,room-pierre-prince-draw-look-say-laugh-princess-little
they seized him by his arms; but he was so strong that everyone who touched him was sent flying.,"['seize', 'arm', 'strong', 'everyone', 'touch', 'send', 'fly']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"""no, you'll never manage him that way,"" said anatole.","['youll', 'never', 'manage', 'way', 'say', 'anatole']",4,dont-say-know-ah-tell-be-dear-do-michael
"""wait a bit and i'll get round him.... listen!","['wait', 'bite', 'ill', 'get', 'round', 'listen']",7,say-prince-go-andrew-look-come-count-room-pierre
"i'll take your bet tomorrow, but now we are all going to ----'s.""","['ill', 'take', 'bet', 'tomorrow', 'go', 's']",1,count-go-pierre-prince-come-know-look-well-let
"""come on then,"" cried pierre.","['come', 'cry', 'pierre']",1,count-go-pierre-prince-come-know-look-well-let
"""come on!...","['come', 'on']",7,say-prince-go-andrew-look-come-count-room-pierre
"and we'll take bruin with us.""","['well', 'take', 'bruin', 'us']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"and he caught the bear, took it in his arms, lifted it from the ground, and began dancing round the room with it.","['catch', 'bear', 'take', 'arm', 'lift', 'grind', 'begin', 'dance', 'round', 'room', 'it']",0,say-prince-nothing-pierre-look-please-smile-know-hand
chapter x prince vasili kept the promise he had given to princess drubetskaya who had spoken to him on behalf of her only son boris on the evening of anna pavlovna's soiree.,"['chapter', 'x', 'prince', 'vasili', 'keep', 'promise', 'give', 'princess', 'drubetskaya', 'speak', 'behalf', 'son', 'boris', 'even', 'anna', 'pavlovnas', 'soiree']",8,prince-hand-know-say-hold-princess-book-leave-even
"the matter was mentioned to the emperor, an exception made, and boris transferred into the regiment of semenov guards with the rank of cornet.","['matter', 'mention', 'emperor', 'exception', 'make', 'boris', 'transfer', 'regiment', 'semenov', 'guard', 'rank', 'cornet']",7,say-prince-go-andrew-look-come-count-room-pierre
"he received, however, no appointment to kutuzov's staff despite all anna mikhaylovna's endeavors and entreaties.","['receive', 'appointment', 'kutuzovs', 'staff', 'despite', 'anna', 'mikhaylovnas', 'endeavor', 'entreaties']",4,dont-say-know-ah-tell-be-dear-do-michael
"soon after anna pavlovna's reception anna mikhaylovna returned to moscow and went straight to her rich relations, the rostovs, with whom she stayed when in the town and where her darling bory, who had only just entered a regiment of the line and was being at once transferred to the guards as a cornet, had been educated from childhood and lived for years at a time.","['soon', 'anna', 'pavlovnas', 'reception', 'anna', 'mikhaylovna', 'return', 'moscow', 'go', 'straight', 'rich', 'relations', 'rostovs', 'stay', 'town', 'darling', 'bory', 'enter', 'regiment', 'line', 'transfer', 'guard', 'cornet', 'educate', 'childhood', 'live', 'years', 'time']",7,say-prince-go-andrew-look-come-count-room-pierre
"the guards had already left petersburg on the tenth of august, and her son, who had remained in moscow for his equipment, was to join them on the march to radzivilov.","['guard', 'already', 'leave', 'petersburg', 'tenth', 'august', 'son', 'remain', 'moscow', 'equipment', 'join', 'march', 'radzivilov']",3,room-pierre-prince-draw-look-say-laugh-princess-little
it was st. natalia's day and the name day of two of the rostovs--the mother and the youngest daughter--both named nataly.,"['st', 'natalias', 'day', 'name', 'day', 'rostovsthe', 'mother', 'youngest', 'daughterboth', 'name', 'nataly']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"ever since the morning, carriages with six horses had been coming and going continually, bringing visitors to the countess rostova's big house on the povarskaya, so well known to all moscow.","['ever', 'since', 'morning', 'carriages', 'horse', 'come', 'go', 'continually', 'bring', 'visitors', 'count', 'rostovas', 'big', 'house', 'povarskaya', 'well', 'know', 'moscow']",2,know-letter-father-man-pierre-see-princess-silent-say
"the countess herself and her handsome eldest daughter were in the drawing-room with the visitors who came to congratulate, and who constantly succeeded one another in relays.","['count', 'handsome', 'eldest', 'daughter', 'drawingroom', 'visitors', 'come', 'congratulate', 'constantly', 'succeed', 'another', 'relay']",5,princess-mary-say-give-prince-look-dinner-man-face
"the countess was a woman of about forty-five, with a thin oriental type of face, evidently worn out with childbearing--she had had twelve.","['count', 'woman', 'fortyfive', 'thin', 'oriental', 'type', 'face', 'evidently', 'wear', 'childbearingshe', 'twelve']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"a languor of motion and speech, resulting from weakness, gave her a distinguished air which inspired respect.","['languor', 'motion', 'speech', 'result', 'weakness', 'give', 'distinguish', 'air', 'inspire', 'respect']",5,princess-mary-say-give-prince-look-dinner-man-face
"princess anna mikhaylovna drubetskaya, who as a member of the household was also seated in the drawing room, helped to receive and entertain the visitors.","['princess', 'anna', 'mikhaylovna', 'drubetskaya', 'member', 'household', 'seat', 'draw', 'room', 'help', 'receive', 'entertain', 'visitors']",6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
"the young people were in one of the inner rooms, not considering it necessary to take part in receiving the visitors.","['young', 'people', 'inner', 'room', 'consider', 'necessary', 'take', 'part', 'receive', 'visitors']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"the count met the guests and saw them off, inviting them all to dinner.","['count', 'meet', 'guests', 'saw', 'invite', 'dinner']",5,princess-mary-say-give-prince-look-dinner-man-face
"""i am very, very grateful to you, mon cher,"" or ""ma chere""--he called everyone without exception and without the slightest variation in his tone, ""my dear,"" whether they were above or below him in rank--""i thank you for myself and for our two dear ones whose name day we are keeping.","['grateful', 'mon', 'cher', 'cherehe', 'call', 'everyone', 'without', 'exception', 'without', 'slightest', 'variation', 'tone', 'dear', 'whether', 'ranki', 'thank', 'dear', 'ones', 'whose', 'name', 'day', 'keep']",8,prince-hand-know-say-hold-princess-book-leave-even
"but mind you come to dinner or i shall be offended, ma chere!","['mind', 'come', 'dinner', 'shall', 'offend', 'chere']",5,princess-mary-say-give-prince-look-dinner-man-face
"on behalf of the whole family i beg you to come, mon cher!""","['behalf', 'whole', 'family', 'beg', 'come', 'mon', 'cher']",1,count-go-pierre-prince-come-know-look-well-let
"these words he repeated to everyone without exception or variation, and with the same expression on his full, cheerful, clean-shaven face, the same firm pressure of the hand and the same quick, repeated bows.","['word', 'repeat', 'everyone', 'without', 'exception', 'variation', 'expression', 'full', 'cheerful', 'cleanshaven', 'face', 'firm', 'pressure', 'hand', 'quick', 'repeat', 'bow']",0,say-prince-nothing-pierre-look-please-smile-know-hand
"as soon as he had seen a visitor off he returned to one of those who were still in the drawing room, drew a chair toward him or her, and jauntily spreading out his legs and putting his hands on his knees with the air of a man who enjoys life and knows how to live, he swayed to and fro with dignity, offered surmises about the weather, or touched on questions of health, sometimes in russian and sometimes in very bad but self-confident french; then again, like a man weary but unflinching in the fulfillment of duty, he rose to see some visitors off and, stroking his scanty gray hairs over his bald patch, also asked them to dinner.","['soon', 'see', 'visitor', 'return', 'still', 'draw', 'room', 'draw', 'chair', 'toward', 'jauntily', 'spread', 'legs', 'put', 'hand', 'knees', 'air', 'man', 'enjoy', 'life', 'know', 'live', 'sway', 'fro', 'dignity', 'offer', 'surmise', 'weather', 'touch', 'question', 'health', 'sometimes', 'russian', 'sometimes', 'bad', 'selfconfident', 'french', 'like', 'man', 'weary', 'unflinching', 'fulfillment', 'duty', 'rise', 'see', 'visitors', 'stroke', 'scanty', 'gray', 'hairs', 'bald', 'patch', 'ask', 'dinner']",2,know-letter-father-man-pierre-see-princess-silent-say
